Province,region,region_en,region_order,delta_mean_2050,delta_max_2050,delta_min_2050,scenario_pred_mean_2050,province_order
内蒙古,华北,North China,1,0.5810278093277329,1.080805587105511,0.0274722537721778,29.9339159749813,0
北京,华北,North China,1,0.34357057600362245,0.680681687114733,-0.1593183128852668,35.510580505588436,1
天津,华北,North China,1,0.2722465603932228,0.5086910048376669,-0.2268645507178881,30.364730763469915,2
河北,华北,North China,1,0.11937064743207663,0.5331484252098555,-0.3857404636790349,27.439232513519904,3
山西,华北,North China,1,-0.17648757741843152,0.4366235336926785,-0.7033764663073203,29.613121085161975,4
黑龙江,东北,Northeast China,2,0.38861017586413504,0.919499064753024,-0.1793898241358653,28.664744580030572,5
辽宁,东北,Northeast China,2,0.2924747428547292,0.6191414095213954,-0.2419697015897153,18.579471259081917,6
吉林,东北,Northeast China,2,-0.24776044567444716,0.2113506654366634,-0.797538223452225,30.19655853218412,7
福建,华东,East China,3,0.710060706616997,1.2502829288392192,0.2847273732836619,22.51934467102446,8
浙江,华东,East China,3,0.5509000032208163,1.269122225443038,0.0802333365541514,22.642587801810343,9
上海,华东,East China,3,0.2134763927673155,1.001254170545092,-0.2687458294549039,28.117337628255473,10
安徽,华东,East China,3,0.14646412511940382,0.7511307917860677,-0.3410914304361512,21.516765145297857,11
江西,华东,East China,3,0.0973100701374072,0.6001989590262973,-0.3709121520848164,29.6724465113598,12
江苏,华东,East China,3,0.049955084977948164,0.6630661960890585,-0.4302671372442752,24.49995098565478,13
山东,华东,East China,3,-0.13206390043633362,0.350158321785889,-0.6231750115474437,25.73387251342541,14
河南,华中,Central China,4,-0.8410947779387022,-0.4215392223831458,-1.3237614446053705,18.23564913085721,15
湖南,华中,Central China,4,-0.95124568781075,-0.4914679100329735,-1.420356798921862,30.589170094757936,16
湖北,华中,Central China,4,-1.1069254471567134,-0.6958143360456006,-1.5847032249344934,30.062509052763613,17
广东,华南,South China,5,0.5939004310646325,1.0923448755090774,0.1890115421757414,32.41152608781792,18
海南,华南,South China,5,0.5158869449005984,0.9563313893450456,0.1518869449005997,28.22257996606978,19
广西,华南,South China,5,-0.7119111221367831,-0.2548000110256723,-1.1403555665812275,31.7226835166299,20
西藏,西南,Southwest China,6,1.2326356194992123,1.819302286165879,0.6870800639436565,28.512112297168482,21
四川,西南,Southwest China,6,-0.14035723408593165,0.4314205436918463,-0.6441350118637104,29.370427446524236,22
云南,西南,Southwest China,6,-0.3288172529632739,0.1965160803700598,-0.745706141852164,30.154474843902676,23
贵州,西南,Southwest China,6,-0.7672209541619133,-0.2785542874952469,-1.235220954161914,19.501822158072525,24
重庆,西南,Southwest China,6,-0.8251353326178069,-0.3540242215066946,-1.324024221506697,29.861756941603886,25
青海,西北,Northwest China,7,1.202001348850919,1.7593346821842522,0.6493346821842523,25.220347238213886,26
宁夏,西北,Northwest China,7,0.21418569901910942,0.9497412545746649,-0.3291476343142232,25.741601983115906,27
甘肃,西北,Northwest China,7,0.004846816736721671,0.6326245945144997,-0.5318198499299447,28.833920139401044,28
陕西,西北,Northwest China,7,-0.29470210621212234,0.2735201160101006,-0.8142576617676784,31.796915374168698,29
新疆,西北,Northwest China,7,-1.1188337141047429,-0.5808337141047435,-1.679722602993632,25.307479111915143,30
